document_id,clean_text,sentiment
11,love at first sight this was a long anticipated wait for me i have been waiting since november 2012 to get my hands on one of these i would frantically search to see the latest stats pro's and cons and i must say the phone is perfect i am amazed at how huge the screen is all the while the phone is soooo lightweight it is very slim and feels as if nothing is in my hand i have toyed with some things at first glance the graphics have my pupils like woooooow i made the tragic mistake of bluetoothing over all my pics from my previous phone first before downloading apps and its about 1200 photos videos and music my fault for that drained my battery but other than that on first hand i love love love love my new phone 1 25 14 it is nice to have a phone that can go 1 day and a half without being on charge i took phone off charge at 745am worked 13 hours and went out to the bar after work took pics and mild to moderate social networking while at work shhh lol and went to sleep with battery at 33 woke up 7 hours later phone is on 30 love love love my phone i do frequently make sure i close all apps on the phone to conserve my battery still learning new things on my phone,positive
12,best phone i've ever owned this phone does everything i could ask of it i'm a student and this thing is absolutely amazing for taking notes editing documents reading etc i also love to play games which it will handle everything out there i would not say that this phone is for everybody because of its shear size and capabilities my 60 year old father would not be able to figure this thing out because of all the customization it offers beware this phone is extremely big like comically big unless you have andre the giant hands you probably wont be able to reach from one end of the screen to the other while one handed texting with that being said i am always worried that i will drop it so i suggest always using both hands i am a very heavy user so the battery usually lasts me about an entire day with about 15 left but i like my brightness maxed out wifi on games syncing blah blah blah my old galaxy s3 would require a charge in the middle of the day just to make it to the end of the day with how much i use it tl dr i love this phone and would recommend it to anybody who needs to multitask and often burns through their battery during the day,positive
13,love the phone first of all i want to say that amazon price beats any service provider offers out there secondly the quick shipment from amazon and processing is awesome now the phone i love love love everything about it it is big in size but how many people have a smartphone plus a tablet i find this phone serves the purpose of both i love how everything is in one i was always in love with the android operating system so i never really had much of a problem i found i got really frustrated with apple products a lot and switching to the iphone was the biggest regret i had made i just don't like how everything is set up for you and you can't really customize anything secondly i love how the note syncs with my google account from my gmail to my calendar and my contacts i am currently taking online classes and i am able to log on to my school website without a problem as opposed to my iphone i can only access certain features and not to mention constantly having to zoom in cons speaker is on the bottom so if you watch a movie in landscape you'll feel like your hearing is off that's all i can find for it for now,positive
14,update do not install update to android 5 0 lollipop update last week april 28 2015 verizon pushed the android 5 0 lollipop update for the note 3 do not install the update there have been multiple problems with the update my particular problem has been if the phone is in a no coverage area for a length of time when you get back into a coverage area it will not pick the signal back up until you reboot the phone i am now waiting on my 3rd phone from verizon to deal with this and their only remedy at this point is not to install the update look online before you consider updating and read all the issues with this update original review i transitioned from a motorola droid razr maxx to this samsung galaxy note 3 a difference between night and day i have literally moved from the worst phone i have ever owned to the absolute best phone i have ever owned pros quad core replaceable up gradable battery beautiful display s pen call quality available accessories app compatibility cons i'll let you know if i find one,positive
15,beautiful phone well worth the money you won't regret it quick reference review details below fantastic all around beautifully crisp screen in full hd very quick response time for all around performance from texts to apps to games battery life is astounding average users will have no problem going throughout a day on one battery or even two connection on verizon is fast for both data and calls i haven't experience any call quality issues camera qualities are second to none the s pen is a nice feature to have phone layout buttons is easy to get used too i can use this phone easily with one hand but i have big hands in general if your only issue with this phone is its size get it you easily get used to the size and don't even notice it however i wouldnt recommend to individuals with tiny hands comment with any other questions ill try to get back as quick as i can bought this phone off amazon in january 2 months ago due to its amazing deal and reduced price and i am not at all dissatisfied worth noting i purchased this phone over the lg g2 i do have a single significant complaint on this phone regarding the charger scroll to the bottom for that design the layout and physical features of this phone are fantastic while it may not be encased in a solid block of metal you never feel like your holding a cheap phone the materials are very sturdy and well made especially when one utilizes a case in my opinion being able to access the battery sim microsd in the back of the phone is more useful than it being in a solid metal body the phone itself is incredibly thin i purchased a spigen slim hardcase for the phone because i wanted to keep the phone sleek and thin as designed button placement is very intuitive and easy to get used too hardware this phone is fast all the benchmark tests do not lie this thing performs better than any phone i've had and is faster than my 1st gen samsung galaxy tab i like to get the most out of my phones to the point of unlocking them but even with all of the pre loaded bloat apps this thing still flys great on wifi or lte screen is amazingly clear with great contrast and color buttons are firm and don't feel like they're going to break the speakers are good not great they get the job done for most users watching youtube or listening to music occasionally if you're a hardcore music lover and sound quality is a top priority you may want to look elsewhere touch screen sensitivity is great out of the box i've had no issues ui and software if you've ever used an andriod or samsung device before you'll quickly find yourself comfortable with this phone if you've never used it before it is easy and very enjoyable i always recommend it over ios but i don't have enough experience with windows to sway you from it but the user interface is intuitive and for the most part can be understood by most there are so many customization's from different widgets layouts screens you have so many options to satisfy the most eclectic or ocd personalities camera so many phones have crazy camera features or settings while the average user wont notice or use half of them i will say the picture quality and useful features on this phone can be handy from action shots to selfies to posting your lunch to instragram this phone with suffice for most i always say if you want to really take meaningful pictures buy a dslr size the size of this phone always seems to be the sticky issue with people as i mentioned before if size is the only issue holding you back from this phone just get it 99 of your wont be disappointed and will quickly get used to the phone depending on your size it will be easier than others the average male wouldn't have a problem with it in his pocket for reference i am about 6 foot and average build with larger hands i'm always amazed how often i don't even feel it however for smaller individuals it may be an issue my honest opinion is find one in person i went to bestbuy and the samsung rep allowed me to hold his work note3 i was able to get a real sense of size and feel of it in my pocket and not just attached to a display table i love having a larger screen it just makes it that much easier to use and enjoy and to me outweighs any size inconvenience battery life it's amazing the big size means samsung is able to throw a big battery in it so even though the larger screen uses more power many average users wont have a problem going an entire day on one charge on average i get about a day and a half if i use heavy constant screen on for several hours straight then i'll run the battery down in a day but idle in your pocket with lte on all day you'll have no issues the usb 3 0 charger port is fantastic this thing charges so fast i can get a full charge in half the time as my old htc thunderbolt people complain about the thickness of the cord but its required for the phone to charge that fast safely which brings me to my only issue i've had with this phone my only complaint i had a few issues charging my phone at first i was extremely upset as i thought the port inside my phone was defective essentially with the usb 3 0 cord and charger you get 2 connections in one the standard usb port and an extra smaller port which is why your able to achieve such fast charging and data transfers my issue was that one of the 2 connections on the usb3 wasn't getting a solid contact in my phone this lead to longer charge times and my phone telling me please use the original charger that came with your phone for faster charging i simply bought a new cord on amazon and i haven't had any problems since i recommend to anyone having charging issues to first try another cord as my issue was that the connection to the phone on the cord was slightly bent on the other side its worth noting you can indeed charge this phone with regular phone micro usb cords however it will be slow overall just get this phone i can't state it enough it is really a fantastic phone i fought back and forth whether to get this or the lg g2 for cheaper but i decided i wanted the best phone i could buy at 250 for the best phone on the market that's fairly priced and would last me a long time and more importantly keep me preoccupied and not wanting to buy a new phone before my upgrade,positive
16,as described my first one crashed on its automatic attempt to update the software amazon in their usual pleasant and expedited means shipped a replacement and walked through some manual steps to ensure the new data contract matched he new phone i love the stylus and the apps the size the features this is my 2nd favorite device next to the 12 inch galaxy note tablet when apple quit updating my perfectly operable 1st gen ipad i ran into the arms of android in the time i left android for favor of my ipad they have come so far and surpass ios sadly i feel like ipad and iphones are mere toys in comparison they are great gadgets but the galaxy note line lets someone have fun and get work done i can multitask like a nut on this thing it does all that i need a little device to do,positive
17,works fine minor quirks drop resistant but recommend case on principle great price hesitant to write a review until a couple months had passed in case of product failure but here i go visually the phone was in great condition besides a few spots about 1mm in length in the lower right bezzel where the plastic has been chipped everything came as described and in working condition i was able to pop my sim csrd in and activste it thr same day in the past month i've experienced a few kinks in the os like the touchscreen not responding for a few seconds and ohone froze once but nothing that a restart couldn't fix i dont think that this is a problem with the phone but just a byproduct of its aging 3 year old componants but these things only happened twice in the last month after heavy usage so i'll give it the benefit of the doubt overall getting this phone with its processing power and display was a very good deal for under 200 despite its age it functions are fluid and dont seem to be slowing down at the moment would definately suggest getting a case despite the fact that i've dropped it a few times without one and have yet to get any scratches,positive
18,but looks great otherwise as for the phone itself ordered a used phone in acceptable condition listing said it has a bunch of scratches on it i can honestly say this phone hardly looks used it has some normal wear on the edges but looks great otherwise as for the phone itself i am blown away by how fast and smooth the apps run and by how crisp the pictures look i've been using the cheap prepaid phones for years now and this one blows it out of the water i love the size and the pen feature is great i can't wait to see what else this phone can do,positive
19,love love love love love it this is my first smartphone and i love it the first three days i was like this thing is way to big this isn't going to work after that i got used to it and i can tell you there is no way i can ever go back the camera is fantastic the picture quality on the screen is breathtaking i have watched so many hd videos it does allow for split screen and doing multiwork for example i can split screen and have txt messages on one side and web browser on the other i can also get on the internet and search something while talking on the phone with someone and don't forget the stylus i had some people tell me it was gimmicky but i really like it when making notes and reminders its much easier than typing and i like to use it for alot of games as well since it is more precise than using my finger,positive
20,great phone not so great instructions this is my first purchase of a cell phone from amazon the phone is beautiful and is just what i wanted the price was right and the delivery time was excellent the only issue i had was that i did not know that i needed to call verizon first before it would activate it seems like amazon could mention that step when they sell a new phone even verizon did not mention it in the accompanying paperwork that came with the phone after several unsuccessful attempts to activate the phone which is supposed to be automated i went to the verizon website and found a number i should call prior to letting the phone run the auto setup and activate the phone other than that i am thrilled with my purchase,positive
21,my girl friend wanted a phone that would be better than the generic 40 when i ordered this item it was said to take about two to three weeks to come in to my suprise it took only about 5 days for the item to arive the quality of the product was exactly as posted 9 out of 10 not a single scratch dent or blemish from my evaluation everything has worked perfectly from the time i opened it put of the box and i received exactly why was promised my girl friend wanted a phone that would be better than the generic 40 00 go phone that could be purchased for her carrier and what we got was many folds greater s pen was perfect phone was without a blemish she literally can't stop taken pictures with this phone because samsungs camers rock the only down side that i would have to say is that the battery performance is quite poor but that would be expected if it was the original battery that game with the phone on a older model i plan on buying a battery for a good deal off amazon for this phone in new condition which should fix all off her problems i rated this 5 stars to be nice but in all reality i would give this a 4 out of 5 for the lack of battery porformance thanks for saving me money once again amazon,positive
22,when i got this phone i loved it it was awesome when i got this phone i loved it it was awesome big fast lasted all day great camera great reception then they upgraded my operating system to kitkat and that all changed ok it's still big kitkat turned my phone into a brick i did not move but i could no longer make or receive calls at home just got a network not available message or something like that my data signal was likewise in the toilet battery went to the potty and the worst was the formerly awesome camera became practically useless because now when you tapped the shutter button you had to wait about 3 seconds no exaggeration for the picture to take if you moved the picture was trash this all started immediately following the kitkat update google the problems they're myriad i wouldn't buy another one till the next software update comes out total brick and total waste of my money thanks for nothing verizon or samsung or whoever's fault this is because no matter who you call it's always the other's one fault,positive
23,that's a huuuuuuuge i didn't find the need to buy a smartphone until last december i eschewed them i had been using my dinosaur phone for the last three years it could take abuse like no other it might have required the battery pulled now and then to reset it but it kept doing the job i hired it for making calls i always had a cheap company smartphone or my wife nearby with hers so i didn't get one until i got this one this phone is awesome it's huge screen is perfect for emails surfing the web whatever but that screen size comes with a price this phone is huge people will tease you about it you can always show then how good of pictures it takes and how fast the shutter speed is or any of the plethora of other features you'll like if you get this phone oh yeah the battery lasts forever,positive
24,more than just a smartphone the samsung galaxy note 3 is a powerful personal pocket computer that you can also use as a phone as well i bought this phone a year late and it is still miles beyond most of the phones out there it's fast smooth and the battery life is fantastic if your a doodler like me the s pen in combination with sketchbook for galaxy is top class when it comes to digital art applications i would recommend downloading the google now launcher as opposed to using the standard tocuhwiz that the phone comes with as it is a little clunky and if you have a google account that you use frequently the launcher really makes the experience personalized and it's scary accurate the only downside to this phone is speaker quality without headphones,positive
25,love love love love love this phone having the 32 gb makes a huge difference in the speed i received the phone in a new samsung box with a oem charger cable and plug very easy to use and see yes it's a bit bulky but i bought a bluetooth earbud dabs audio s10 mini wireless headset for 25 prime and it works great the s note feature is wonderful for snapping a picture of your screen and making notes or just to use as a note pad highly recommend,positive
26,my first smart phone i am slow to enter the 21st century this is my first smart phone i only paid a penny and i'm very happy with it it's fairly easy to use my kids love playing with the pen drawing on photos etc the service is great the colors are beautiful i am definitely not an apple fan but i do like siri better than the s voice she works better and all my friends say the voice on my phone is creepy seductive sounding i got my brother to change the voice he's good with technology and it still took him a while but it's better,positive
27,awesome phone 5 stars my husband just purchased this as a replacement for his galaxy nexus he is thrilled with it he loves the multi tasking abilities the vibrant screen and the extra long battery life while at first it seems a lot larger than other phones my husband has adapted to it and wouldn't want the screen to be any smaller the only time that the size is a nuisance is when he tries to carry in his front pocket the phone is extremely fast and efficient he didn't think that he would use the s pen but he loves it and uses it all the time this phone is like having your own personal computer with you at all times there's really nothing that it can't do according to him the i phone is mickey mouse play compared to the note 3,positive
28,beast phone top dog imo best phone out there great for multitasking excellent screen fast lightweight camera takes great pictures in good lighting s pen works great speaker output nice and crisp battery life really good if you turn off some un needed functions like gestures turn off gps when your not needing it turn off auto sync and set screen time out to 30 sec i been getting easy 2 days without charging with light usage like streaming youtube web browsing and some email call quality very good can hear callers loud and sharp on verizon network that is 4g blazing fast on verizon wifi antenna can be a little stronger overall a great phone by samsung,positive
29,amazing phone i love it love my phone i'm using it now only problem is it doesn't come with sim card other than that great quality battery drains a little faster than should but awesome phone charger says connect to original charger when first plugged in but just wiggle a little bit and is fine and charges very fast,positive
30,the best phone our there over the years i've always had great phone's however i must say this is the best phone i have ever owned i had taken four months to research all of the phones out there and am pleased that i settled on the 'samsung galaxy note 3 many of my friends and family tried to talk me out of it stating it was just to big and it certainly does look big on display but once you get it in your hand it fits perfectly now that i own it all of my friends and family want one the look and feel of the phone is amazing the size of the screen is awesome i also love how you can 'hand write your text messages with your stylus pen or you can hand write and have it automatically convert to a block style message or you can still use the keyboard if you like i always hand write my text messages as i've never liked using a keyboard i also love that i can jot down notes with my stylus pen i use this feature a lot for my work the speakers sound great when listening to music the mix of tones is crisp and clean while blending beautifully i use my phone all of the time and the battery life is amazing and especially compared to all of my previous phones i can't say enough good about this phone i've owned it for a month now and still haven't even touched on all of the great features this phone has i hope they come out with a galaxy note 4 in a few years because there is no doubt that will be my next phone thanks amazon your impeccable service is appreciated,positive
31,by far the best phone i have ever used i had the iphone 4s and have to say i did not think it was worth the price this samsung galaxy note 3 however is worth every penny i'm not a techno genius and you don't need to be with this phone the calls are clear the display is vibrant and easy to see love the larger screen it was actually the camera that sold me on this phone but i am digging the s pen and the other gadgets it has while i will admit apple seems to have more apps this android has all the apps that i was using on my iphone all in all i say it is the best phone even though the galaxy s5 has hit the market,positive
32,great phone i was considering to by the sony great phone i was considering to by the sony phone but i needed something cheaper i am very satisfied with it very easy to use and i use many many functions on it the battery life is great too unless i acidentally leave on the wifi or use the gps these deplete my battery much faster the only problem with this phone that it is impossible to change contacts email or texting background dark or black that's a little disturbing but if you can get over this it is a great device,positive
33,great phone advnantages of note 3 outweigh upgrades to note 5 i have quickly come to find the size of the screen to be far superior to my old s3 i would never go back to a smaller phone's screen the note 3 is very detailed colors are vibrant and i see no pixels even when the image is magnified i was a bot reluctant to buy a refurbished phone but breed sent a phone indistinguishable from new also the accessories for an older model are far cheaper than the new note 5 as for the note 5 the lack of a removable battery and sd card were deal breakers for me,positive
34,not as good as expected thought this phone would be much faster but its no faster than my old phone the picture quality is ok just disappointed over all plus the seller sent me the wrong charger so i had to go out and purchase one not a satisfied customer,neutral
35,love love love love love this phone it was cheaper on here then buying it through verizon i received it quickly and was able to quickly and easily get it set up this phone works great i haven't had any major problems with it the only problems i have had are typical phone problems like it freezing up on me but after taking the battery out and turning it back on it is fine again and that hasn't even happened as often as other phones i've had my previous phone was the lg g2 i think the note 3 is a million times better,positive
36,good phone for the money i don't play a whole lot of games or do a whole lot of social media so this is probably more phone than i need i do take a lot of pictures and videos and it is wonderful for that the sound recording on this phone is pretty good i record music and sometimes kick back and video a group when they are doing well the quality is excellent one of the reasons i picked this phone,positive
37,finally something that has my heart this is the best phone i have ever owned finally something that has my heart this is the best phone i have ever owned i carry two and the other is an iphone but hands down this phone does everything and i would never go back to any other kind it is big enough for viewing and i love the touch enlarging battery lasts all day even with steady use i love the way it can be customized to fit your needs tons of emails every day make this note 3 my best choice for a phone no matter what the needs you have,positive
38,nice phone the phone arrived on time and works very well also the phone is in really good cosmetic condition i got it for my husband we will see if it continues to work well i will let you know as we go,positive
39,great phone big screen long battery life and powerful specs what more could you ask for this is the top of the line smart phone right now beware i have had issues with the stock charging cable it is usb 3 0 and is slightly larger that a normal usb 2 0 from most other phones plugging in the 3 0 charger will sometimes work but mostly it doesn't you may have to use an old charger but the battery is so big that it will take you a while to fully charge that way search for usb 3 cable not charging on andriod central to see others with the same problem,positive
40,totally awesome nothing compares to this phone everything else is inferior everything else is too small or too slow the note 3 is the finest device ever made period i can't imagine texting or browsing or watching on something smaller than this now that i've had it for a while the camera takes great pics video very fast i'm also quite happy with verizon so far fast data downloads and much better call clarity service in my area than other carriers i've tried,positive
41,love the phone verizon is another story love love absolutely love this phone i am not crazy about verizon i received my first bill before i had the phone a week higher that i expected i was charged an activation fee of an extra 45 the data really goes fast but i have learned to use wi fi still samsun outdid themselves with this phone it has a glitch thing about touching the icons and the screen jumps to the next page still love the phone though waiting to see when the note 5 comes out,positive
42,cool phone i finally had to break down and purchase a new phone to replace the flip i had been using for about 10 years i chose this because it was highly rated by all the reviews i read and i absolutely refused to be a moronic lemming and purchase an ipos the price through amazon was better than what i could do through verizon and the setup was absolutely painless i am not too thrilled about the 50 increase in my monthly bill but that's what you get for going from a no frills flip phone to a phablet,positive
